"","Gambar produk","Tindakan","Produk","Lokasi Bisnis","Harga Pembelian Satuan","Harga penjualan","Stok saat ini","Jenis Produk","Kategori","Merek","Pajak","SKU"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Atasan Seragam HW Pembina Putri","Kedai HW","Rp 100,000.00","Rp 130,000.00","89.00 Pieces","Tunggal","","","","20989"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Bendera Bordir Kecil","Kedai HW","Rp 750.00","Rp 1,607.18","880.00 Pieces","Tunggal","","","","1000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Bordir IPM","Kedai HW","Rp 3,500.00","Rp 5,000.00","480.00 Pieces","Tunggal","","","","Badge Bordir IPM"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Kwarwil Custom Bordir","Kedai HW","Rp 5,000.00","Rp 5,000.00","9,414.00 Pieces","Tunggal","","","","0284"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Kwarwil Jateng Bordir Full","Kedai HW","Rp 5,000.00","Rp 5,000.00","8,638.00 Pieces","Tunggal","","","","0133"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Kwarwil Jateng Bordir Seri B","Kedai HW","Rp 4,000.00","Rp 4,000.00","8,753.00 Pieces","Tunggal","","","","0134"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Tanda Kerabat Penghela","Kedai HW","Rp 3,000.00","Rp 3,000.00","738.00 Pieces","Tunggal","","","","0210"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge Tanda Kerabat Penghela Jumbo","Kedai HW","Rp 4,000.00","Rp 4,000.00","998.00 Pieces","Tunggal","","","","0211"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Badge TKT Tunas Athfal","Kedai HW","Rp 3,000.00","Rp 3,000.00","950.00 Pieces","Tunggal","","","","0261"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Baju Seri A","Kedai HW","Rp 52,000.00","Rp 52,000.00","993.00 Pieces","Tunggal","","","","0240"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Baju Seri A 0,5 M","Kedai HW","Rp 26,000.00","Rp 26,000.00","1,000.00 Pieces","Tunggal","","","","0241"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Baju Seri B","Kedai HW","Rp 42,000.00","Rp 42,000.00","929.00 Pieces","Tunggal","","","","0242"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Baju Seri B 0,5 M","Kedai HW","Rp 21,000.00","Rp 21,000.00","999.00 Pieces","Tunggal","","","","0243"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bahan Kain Celana HW SERI A","Kedai HW","Rp 52,000.00","Rp 52,000.00","973.00 Pieces","Tunggal","","","","1332"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bahan Kain Celana HW SERI A 0,5 M","Kedai HW","Rp 26,000.00","Rp 26,000.00","999.00 Pieces","Tunggal","","","","1333"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Celana Seri B","Kedai HW","Rp 35,000.00","Rp 42,000.00","98.00 Pieces","Tunggal","","","","12331"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Ero/ Arrow Seri C","Kedai HW","Rp 25,000.00","Rp 25,000.00","1,000.00 Pieces","Tunggal","","","","0238"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bahan Kain Ero/ Arrow Seri C 0,5 M","Kedai HW","Rp 12,500.00","Rp 12,500.00","1,000.00 Pieces","Tunggal","","","","0239"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Athfal Putra Seri A","Kedai HW","Rp 95,000.00","Rp 95,000.00","1,000.00 Pieces","Tunggal","","","","0089"
